iter	Passed	Remaining
1457	20296	7545
1458	20308	7530
1459	20325	7517
1460	20338	7503
1461	20353	7489
1462	20366	7475
1463	20378	7460
1464	20392	7447
1465	20408	7433
1466	20421	7419
1467	20437	7406
1468	20453	7393
1469	20467	7379
1470	20481	7365
1471	20493	7350
1472	20505	7336
1473	20521	7323
1474	20538	7310
1475	20554	7297
1476	20566	7282
1477	20582	7269
1478	20595	7255
1479	20610	7241
1480	20625	7228
1481	20640	7214
1482	20653	7200
1483	20665	7185
1484	20678	7171
1485	20695	7158
1486	20706	7143
1487	20721	7129
1488	20733	7115
1489	20749	7102
1490	20762	7088
1491	20774	7073
1492	20787	7058
1493	20800	7044
1494	20817	7032
1495	20831	7018
1496	20844	7003
1497	20861	6991
1498	20879	6978
1499	20891	6963
1500	20907	6950
1501	20921	6936
1502	20934	6922
1503	20946	6907
1504	20962	6894
1505	20977	6881
1506	20990	6866
1507	21008	6854
1508	21020	6839
1509	21036	6826
1510	21048	6811
1511	21063	6798
1512	21077	6784
1513	21090	6770
1514	21103	6755
1515	21115	6741
1516	21127	6726
1517	21140	6712
1518	21154	6698
1519	21168	6684
1520	21183	6671
1521	21197	6657
1522	21216	6644
1523	21231	6631
1524	21248	6618
1525	21263	6604
1526	21278	6591
1527	21292	6577
1528	21307	6563
1529	21323	6550
1530	21340	6537
1531	21355	6523
1532	21372	6510
1533	21387	6497
1534	21399	6482
1535	21416	6469
1536	21429	6455
1537	21448	6442
1538	21461	6428
1539	21474	6414
1540	21486	6400
1541	21503	6386
1542	21516	6372
1543	21532	6359
1544	21546	6345
1545	21562	6331
1546	21577	6318
1547	21593	6305
1548	21606	6290
1549	21622	6277
1550	21636	6263
1551	21648	6249
1552	21665	6235
1553	21681	6222
1554	21694	6208
1555	21711	6195
1556	21722	6180
1557	21739	6167
1558	21756	6154
1559	21770	6140
1560	21787	6127
1561	21800	6113
1562	21816	6099
1563	21832	6086
1564	21846	6072
1565	21863	6059
1566	21877	6045
1567	21890	6031
1568	21902	6016
1569	21914	6002
1570	21931	5988
1571	21943	5974
1572	21958	5960
1573	21971	5946
1574	21985	5932
1575	21998	5918
1576	22012	5904
1577	22027	5890
1578	22042	5877
1579	22057	5863
1580	22070	5849
1581	22086	5835
1582	22099	5821
1583	22115	5808
1584	22130	5794
1585	22144	5780
1586	22156	5765
1587	22169	5751
1588	22184	5738
1589	22196	5723
1590	22211	5709
1591	22227	5696
1592	22244	5683
1593	22260	5669
1594	22272	5655
1595	22284	5641
1596	22298	5626
1597	22316	5614
1598	22330	5600
1599	22343	5585
1600	22362	5573
1601	22378	5559
1602	22389	5545
1603	22401	5530
1604	22417	5517
1605	22430	5502
1606	22445	5489
1607	22461	5475
1608	22474	5461
1609	22486	5447
1610	22502	5433
1611	22517	5419
1612	22530	5405
1613	22542	5391
1614	22556	5377
1615	22569	5363
1616	22584	5349
1617	22600	5335
1618	22616	5322
1619	22633	5309
1620	22647	5295
1621	22660	5281
1622	22676	5267
1623	22690	5253
1624	22703	5239
1625	22719	5225
1626	22734	5211
1627	22752	5198
1628	22766	5185
1629	22780	5171
1630	22792	5156
1631	22806	5142
1632	22822	5129
1633	22837	5115
1634	22853	5101
1635	22865	5087
1636	22882	5074
1637	22894	5059
1638	22908	5045
1639	22923	5031
1640	22938	5018
1641	22954	5004
1642	22966	4990
1643	22979	4976
1644	22994	4962
1645	23008	4948
1646	23026	4935
1647	23044	4922
1648	23062	4909
1649	23078	4895
1650	23090	4881
1651	23103	4866
1652	23115	4852
1653	23133	4839
1654	23154	4826
1655	23173	4813
1656	23188	4800
1657	23205	4786
1658	23225	4773
1659	23239	4759
1660	23254	4746
1661	23271	4732
1662	23286	4718
1663	23306	4706
1664	23321	4692
1665	23337	4678
1666	23354	4665
